"Story","Title","Result","Date","Stability","Duration (s)"
"Como empleado y con rol administrativo necesito ingresar al sistema con el fin de","Inicio de sesion exitoso","SUCCESS","2021-10-23T12:01:33.8766211-05:00[America/Bogota]","0.0","11.98"
"Como empleado y con rol administrativo necesito ingresar al sistema con el fin de","Inicio de sesión donde el password es inválido","SUCCESS","2021-10-23T12:01:46.7538134-05:00[America/Bogota]","0.0","8.03"
"Como empleado y con rol administrativo necesito ingresar al sistema con el fin de","Inicio de sesión donde el usuario es inválido","SUCCESS","2021-10-23T12:01:55.4966937-05:00[America/Bogota]","0.0","8.67"
"Como empleado y con rol administrativo necesito ingresar al sistema con el fin de","Inicio de sesión donde no se introducen credenciales","SUCCESS","2021-10-23T12:02:04.9286433-05:00[America/Bogota]","0.0","6.63"
